image,output,flag,username,timestamp
C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\image\39309888cd4945b96860bbbccbd36f18cdb992d7\tmpw5j46f51.png,C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\output\9c6f7d1c39fdd6a1ac82ab1a562eca146b13761a\tmpnubj6cxa.png,,,2025-08-02 19:03:55.911412
C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\image\3aba3bcea3f651167da61a263670d8ef464a738c\tmpx6prexi2.png,C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\output\3ab809c918d7923eb68219f619213f53f9554ee4\tmphxt09gw3.png,,,2025-08-02 19:03:58.896741
C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\image\befa5ff638ad4fab0150445bf7d5cac7d258d3cf\tmpm9iabvuz.png,C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\output\93a5c27d4bce4a0765f55f6c5d275ed8a532b039\tmp7ziy9_9m.png,,,2025-08-02 19:05:34.962525
C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\image\ebcd289d7b0884772bece89cb9f5e78941c2c8a4\tmpxf3sl6un.png,C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\output\f1c918231878913c696088480bbb3bf4a9c03e68\tmpuhihsqq1.png,,,2025-08-02 19:16:39.303069
C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\image\b224cb40a0fc0c68ee8b8f8a6354e14828d6e6be\tmpxy1etpoi.png,C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\output\48c525f90e51a85f80802edc041b4578b49adb59\tmp_llmfu_u.png,,,2025-08-02 22:04:50.450159
C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\image\5321ee12354f8b453275d995d95ac5371c725e15\tmpqs4mhugz.png,C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\output\dbce3512e1ab508b0ef684a5b801aea14b5246d0\tmpgy5j581h.png,,,2025-08-03 09:38:06.682558
C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\image\1fb7b1c1e2426733dd05c0ae2074f30995ec875e\tmp0ap1kljl.png,C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\output\6e4a2c985d4c2d19306171f3caacea6b1f83da94\tmpswkf54do.png,,,2025-08-03 09:38:09.705879
C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\image\12a1b99ed9c76be89a3a435706ed6737addca21e\tmpinuwn821.png,C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\output\9c0d27dc62189796154bb54ea21e300ca0447af4\tmp0o_xrjd3.png,,,2025-08-03 09:38:14.190621
C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\image\2f5367f172955434660fa06f21b5d7d86fdefcf7\tmp2b3v585u.png,C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\output\b54bde66d87b275fdcadae129d89776e1f65cb48\tmps5wo282l.png,,,2025-08-03 09:38:17.804903
C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\image\be7c865e5f24451631a915a750176ddb2fdcc584\tmpbvlp0y27.png,,,,2025-08-03 10:16:13.428294
C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\image\d160c112622f9d55e0e2f81274b88d215c664e4e\tmpv3e1ajmw.png,,,,2025-08-03 10:16:47.305172
,,,,2025-08-03 10:17:00.323188
,,,,2025-08-03 10:17:06.251356
,,,,2025-08-03 10:17:11.083993
C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\image\22b8b43e7eb6758e387b463bb07980ac9897d9ac\tmpxt33f_gk.png,,,,2025-08-03 10:17:22.499423
C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\image\00e04907290266da218d4d1d80de0b61288d6c58\tmpofyghakp.png,C:\Users\DELL\Desktop\Proyecto-Final-IA\flagged\output\9573a1e3117a75871635b5b619a434139cd6f2a3\tmpudj2t1mq.png,,,2025-08-03 13:41:43.233085
